1630454400000,2.76800000,2.90400000,2.72000000,2.86900000,196563544.10000000,1630540799999,555373015.95660000,699079,102638887.20000000,290205392.07470000,0
1630540800000,2.87000000,3.10100000,2.83400000,2.96000000,397432179.47000000,1630627199999,1191195523.41431800,1707158,203333817.71000000,609423272.48380200,0
1630627200000,2.96000000,3.03000000,2.90000000,2.96600000,203828698.40000000,1630713599999,604944629.81910000,748267,98233998.80000000,291656691.65540000,0
1630713600000,2.96500000,2.96700000,2.80000000,2.83000000,192271347.00000000,1630799999999,555689396.88110000,625216,87225371.00000000,252167217.58600000,0
1630800000000,2.83100000,2.95600000,2.81300000,2.91000000,169097774.60000000,1630886399999,487746887.45130000,549105,85022094.30000000,245390805.87010000,0
1630886400000,2.91100000,2.92700000,2.80000000,2.83300000,186970542.20000000,1630972799999,535309232.25760000,605231,86637039.50000000,248122090.98100000,0
1630972800000,2.83300000,2.87500000,2.00000000,2.51400000,964890684.80000000,1631059199999,2422642316.30110300,2337151,458800049.53000000,1152415782.89275500,0
1631059200000,2.51400000,2.56400000,2.20000000,2.47000000,547581870.50000000,1631145599999,1316692953.31960000,1350979,269724376.90000000,648727194.47620000,0
1631145600000,2.47000000,2.62300000,2.39000000,2.51800000,411631907.80000000,1631231999999,1044096246.85520000,1062468,204010011.30000000,517768069.97020000,0
1631232000000,2.51800000,2.58600000,2.26900000,2.38300000,322102115.00000000,1631318399999,781123869.90650000,918483,154169089.40000000,374327235.54570000,0
1631318400000,2.38400000,2.80000000,2.36700000,2.63800000,561119335.07000000,1631404799999,1487971497.54120600,1744500,284395717.17000000,753933390.26830600,0
1631404800000,2.63700000,2.78900000,2.50100000,2.58100000,466822310.10000000,1631491199999,1224176461.61570000,1564268,232140140.50000000,609017927.75930000,0
1631491200000,2.58000000,2.59300000,2.30900000,2.40200000,378841930.80000000,1631577599999,916543680.71340000,1095045,180294847.80000000,436158074.37300000,0
1631577600000,2.40100000,2.43800000,2.32000000,2.39600000,214309623.20000000,1631663999999,511446201.38930000,579750,108027392.70000000,257890009.67780000,0
1631664000000,2.39600000,2.58200000,2.35500000,2.50500000,276853578.30000000,1631750399999,683490051.66620000,793260,141537058.20000000,349320953.86460000,0
1631750400000,2.50400000,2.56000000,2.38100000,2.41700000,196390696.80000000,1631836799999,481379433.68150000,590119,94908404.70000000,232897906.00720000,0
1631836800000,2.41700000,2.44200000,2.31300000,2.35000000,130098585.40000000,1631923199999,309192082.29220000,369949,63520269.70000000,151052641.48160000,0
1631923200000,2.35000000,2.43900000,2.31000000,2.37100000,115231963.90000000,1632009599999,274828761.86350000,333767,57006407.20000000,136017438.34110000,0
1632009600000,2.37100000,2.39700000,2.25900000,2.28300000,127205837.00000000,1632095999999,296891018.11930000,367262,60326371.60000000,140886638.23960000,0
1632096000000,2.28300000,2.29300000,1.97000000,2.07900000,458599973.03000000,1632182399999,971662079.45045600,1164195,213568356.88000000,452724542.61105200,0
1632182400000,2.08000000,2.22900000,1.91010000,1.98600000,450988800.97000000,1632268799999,938941126.41735200,1050842,218654940.30000000,455928774.47380000,0
1632268800000,1.98600000,2.26800000,1.96700000,2.25700000,262894741.00000000,1632355199999,561770727.65820000,764251,134920927.90000000,288420199.84690000,0
1632355200000,2.25700000,2.34600000,2.17900000,2.32700000,190056984.80000000,1632441599999,427121740.39680000,580771,92176890.60000000,207271956.56510000,0
1632441600000,2.32700000,2.34500000,2.06300000,2.27700000,382004501.60000000,1632527999999,852034401.15710000,1180658,188015547.20000000,419565613.49980000,0
1632528000000,2.27700000,2.45900000,2.23500000,2.30000000,328389858.73000000,1632614399999,772544525.92708700,1058437,162523893.33000000,382588416.81708700,0
1632614400000,2.29900000,2.30100000,2.14700000,2.20700000,231090029.90000000,1632700799999,517051791.33590000,641684,111893534.30000000,250548527.30660000,0
1632700800000,2.20600000,2.27700000,2.12800000,2.13000000,150915484.20000000,1632787199999,333393824.49190000,395932,73661197.60000000,162889044.66730000,0
1632787200000,2.12900000,2.17300000,2.02900000,2.03700000,151911770.20000000,1632873599999,319192127.40440000,364562,72551867.60000000,152493917.70920000,0
1632873600000,2.03700000,2.15000000,2.02000000,2.06600000,136138441.20000000,1632959999999,282604347.73720000,336857,65670946.70000000,136368154.27890000,0
1632960000000,2.06600000,2.13700000,2.05100000,2.11500000,124916940.90000000,1633046399999,262127906.90080000,305957,62680168.40000000,131596050.71830000,0
